Title,Genres,Actors,Directors,Synopsis,Rating
The Gorge,"Romance, Science Fiction, Thriller","Miles Teller, Anya Taylor-Joy, Sigourney Weaver",Scott Derrickson,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",7.732
Uranus 2324,"Romance, Drama, Science Fiction","Sarocha Chankimha, Rebecca Patricia Armstrong, Torfan Taweema",Thanadol Nuansut,"Bonded in their youth and separated by tragedy, an astronaut and a free diver bend the laws of space and time in their efforts to be together again.",6.224
Demon City,"Action, Crime, Fantasy, Thriller","Toma Ikuta, Masahiro Higashide, Miou Tanaka",Seiji Tanaka,"Framed for his family's murder and left for dead, an ex-hitman will stop at nothing to exact revenge on the masked ""demons"" who have taken over his city.",6.864
Opus,"Horror, Mystery, Thriller","Ayo Edebiri, John Malkovich, Juliette Lewis",Mark Anthony Green,"A young writer is invited to the remote compound of a legendary pop star who mysteriously disappeared thirty years ago. Surrounded by the star's cult of sycophants and intoxicated journalists, she finds herself in the middle of his twisted plan.",5.311
"I, the Executioner","Action, Crime","Hwang Jung-min, Jung Hae-in, Oh Dal-su",Ryoo Seung-wan,"The veteran detective Seo Do-cheol and his team at Major Crimes, relentless in their pursuit of criminals, join forces with rookie cop Park Sun-woo to track down a serial killer who has plunged the nation into turmoil.",6.9
Kraven the Hunter,"Action, Adventure, Thriller","Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger",J.C. Chandor,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",6.623
Plankton: The Movie,"Animation, Adventure, Comedy, Family, Fantasy","Mr. Lawrence, Jill Talley, Tom Kenny",Dave Needham,Plankton's tangled love story with his sentient computer wife goes sideways when she takes a stand — and decides to destroy the world without him.,6.953
Amaran,"Action, Drama, Adventure, War","Sivakarthikeyan, Sai Pallavi, Rahul Bose",Rajkumar Periasamy,"A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.",7.354
Sky Force,"Action, Thriller","Akshay Kumar, Veer Pahariya, Nimrat Kaur","Abhishek Kapur, Sandeep Kewlani","In the 1965 Indo-Pak War, India faces a devastating surprise attack. Wing Commander Ahuja leads a retaliatory strike, but Squadron Leader Vijaya goes missing after a heroic solo engagement against a superior enemy jet. Ahuja spends 23 years seeking the truth and uncovering a cover-up.",6.827
The Vigilante,"Thriller, Action","Jet Jandreau, Alison Jaye Horowitz, Ana Alexander",Lee Whittaker,"Returning from Afghanistan, Jessica, a Spec OPS Marine, finds herself in a war she never imagined and discovers middle America suburbia has changed when her thirteen year old sister, Aimee, is abducted by sex traffickers.",5.9
